id,id_str,screen_name,profile_img_url,text,media_url,type,datetime,sentiment
646,704059131234291712,zahrataiba,http://pbs.twimg.com/profile_images/513423617556635649/LrfYvcDS_bigger.jpeg,"RT @MLHacks: Thank you so much for attending #HackLondon, it was truly a phenomenal hackathon! https://t.co/hlbU8gMaRk",http://pbs.twimg.com/media/CcUVOBmW8AA-agk.jpg,photo,2016-02-28 21:42:32.544445,2
647,704060288820183040,zahrataiba,http://pbs.twimg.com/profile_images/513423617556635649/LrfYvcDS_bigger.jpeg,"Had a great weekend with the #HackLondon crowd, Now to catch up on more Leo and sleep. \o/ https://t.co/lZmTJxlM5n",http://pbs.twimg.com/media/CcVS_FRWIAIiPPy.jpg,photo,2016-02-28 21:47:09.057294,3
675,704319528851914752,wailingtam,http://pbs.twimg.com/profile_images/588471085345148928/vT10T4zC_bigger.jpg,RT @hacklondonuk: Hacklondon &amp; Hack UPC 💜 #hacklondon @ UCL https://t.co/KVARPwWJe1,,,2016-02-29 14:57:16.124268,0
648,704065899121266692,MoranLerner,http://pbs.twimg.com/profile_images/677449507949400069/vIZy3PaL_bigger.jpg,"RT @chirp_io: 24hrs later, and #hacklondon is over. Just a few of the teams who made astonishing things with Chirp this weekend. https://t.…",http://pbs.twimg.com/media/CcTqkvMW8AIt8DL.jpg,photo,2016-02-28 22:09:26.155155,0
649,704087378424561664,josefasalinas,http://pbs.twimg.com/profile_images/3714834461/f036b3bb52709cabe8609b5c41fb1a6b_bigger.jpeg,RT @hltv: Interviewing Latinas of influence today #Latina #hl2016 #women #empowerment https://t.co/MfrJbc4ud0,http://pbs.twimg.com/media/Cb8oL3IUUAA57df.jpg,photo,2016-02-28 23:34:47.207058,0
650,704087792184336385,nico_knoll,http://pbs.twimg.com/profile_images/700741133475811329/gE_fcoeI_bigger.jpg,First time I win something at a hackathon and then I miss the award ceremony due to my flight back home... #hacklondon,,,2016-02-28 23:36:25.832324,5
651,704092178512011264,nikriek,http://pbs.twimg.com/profile_images/677587584202182657/xfivpmCh_bigger.jpg,RT @nico_knoll: First time I win something at a hackathon and then I miss the award ceremony due to my flight back home... #hacklondon,,,2016-02-28 23:53:51.705322,5
652,704113969141784578,clareji17,http://pbs.twimg.com/profile_images/690855368352743426/TzKD4QjO_bigger.jpg,Just pretending to be winners of the first #Hacademy Awards at #HackLondon! @hacklondonuk @MLHacks https://t.co/sLMSgygInI,http://pbs.twimg.com/media/CcWD6khWIAA83el.jpg,photo,2016-02-29 01:20:27.566371,2
653,704115036877262848,hltv,http://pbs.twimg.com/profile_images/684180764259295232/_3-6lMR0_bigger.jpg,The count down continues Latina Conference 2016 is 40 days away https://t.co/Oppl7OyHj7 #hl2016 #Oscars #latinas https://t.co/cNERe949Vv,http://pbs.twimg.com/media/CcWE5RSUkAIWZIH.jpg,photo,2016-02-29 01:24:41.973508,0
654,704116527570681856,Doggietreat2,http://pbs.twimg.com/profile_images/1607107779/final_logolargesdeptember_bigger.jpg,RT @hltv: The count down continues Latina Conference 2016 is 40 days away https://t.co/Oppl7OyHj7 #hl2016 #Oscars #latinas https://t.co/cNE…,http://pbs.twimg.com/media/CcWE5RSUkAIWZIH.jpg,photo,2016-02-29 01:30:36.881541,0
655,704135306883133441,RDSHLTV,http://pbs.twimg.com/profile_images/378800000138058832/d53aa3732180dc0d7e811c977632c156_bigger.jpeg,RT @hltv: The count down continues Latina Conference 2016 is 40 days away https://t.co/Oppl7OyHj7 #hl2016 #Oscars #latinas https://t.co/cNE…,http://pbs.twimg.com/media/CcWE5RSUkAIWZIH.jpg,photo,2016-02-29 02:45:14.285757,0
656,704151289513422849,hltv,http://pbs.twimg.com/profile_images/684180764259295232/_3-6lMR0_bigger.jpg,Is this the most awkward Oscars ever? #Osars2016  #hl2016,,,2016-02-29 03:48:44.883451,-2
657,704152400530026499,RDSHLTV,http://pbs.twimg.com/profile_images/378800000138058832/d53aa3732180dc0d7e811c977632c156_bigger.jpeg,RT @hltv: Is this the most awkward Oscars ever? #Osars2016  #hl2016,,,2016-02-29 03:53:09.697898,-2
658,704153024160272385,LatinoAgenda,http://pbs.twimg.com/profile_images/1292105382/TwitterLogo_bigger_1__normal.jpg,RT @hltv: Is this the most awkward Oscars ever? #Osars2016  #hl2016,,,2016-02-29 03:55:38.307161,-2
659,704213472809238528,alexmtk,http://pbs.twimg.com/profile_images/698159606816759808/myInWmnE_bigger.jpg,RT @clareji17: Just pretending to be winners of the first #Hacademy Awards at #HackLondon! @hacklondonuk @MLHacks https://t.co/sLMSgygInI,http://pbs.twimg.com/media/CcWD6khWIAA83el.jpg,photo,2016-02-29 07:55:50.430764,2
660,704224158385893376,ohdeerme,http://pbs.twimg.com/profile_images/512596525965647872/cVnC9obo_bigger.jpeg,@GitHubEducation #HackLondon https://t.co/czPqG57j9R,http://pbs.twimg.com/media/CcXoIg0WEAAoaUf.jpg,photo,2016-02-29 08:38:18.557888,0
661,704227670364659712,uveavanto,http://pbs.twimg.com/profile_images/593906762664833024/rs0KUlAj_bigger.png,Only got that far because everyone was so impressed at #wekinator. Big shout out to @RebeccaFiebrink for making it https://t.co/ZDuvJRAOWo,,,2016-02-29 08:52:15.460526,4
662,704237608776425473,Erenbey,http://pbs.twimg.com/profile_images/633933294120402944/l5z-A0TV_bigger.jpg,"RT @chirp_io: 24hrs later, and #hacklondon is over. Just a few of the teams who made astonishing things with Chirp this weekend. https://t.…",http://pbs.twimg.com/media/CcTqkvMW8AIt8DL.jpg,photo,2016-02-29 09:31:44.880781,0
663,704239357981360129,luigi_avc0,http://pbs.twimg.com/profile_images/646166171180363776/Q8DYobai_bigger.png,RT @ohdeerme: @GitHubEducation #HackLondon https://t.co/czPqG57j9R,http://pbs.twimg.com/media/CcXoIg0WEAAoaUf.jpg,photo,2016-02-29 09:38:41.929783,0
664,704243351642632192,Flememl,http://pbs.twimg.com/profile_images/461841213713170433/yWWiE_1I_bigger.jpeg,RT @hacklondonuk: Best non-UI hack! #hacklondon @ UCL https://t.co/VdthhOiZ5F,,,2016-02-29 09:54:34.055631,3
665,704243359028797442,Flememl,http://pbs.twimg.com/profile_images/461841213713170433/yWWiE_1I_bigger.jpeg,RT @hacklondonuk: Best Fresher Hack! #hacklondon @ UCL https://t.co/RNA2cn9zWN,,,2016-02-29 09:54:35.816353,3
666,704259364840939520,PandelisZ,http://pbs.twimg.com/profile_images/685797367124213760/MXbvTLbT_bigger.png,RT @MLHacks: Congratulations to Luncheon for winning Best Use of Amazon Web Services at #HackLondon https://t.co/mow4JZzIgL,http://pbs.twimg.com/media/CcUkLmWWIAQ5Gwd.jpg,photo,2016-02-29 10:58:11.956442,9
667,704273550392295424,ZephrFish,http://pbs.twimg.com/profile_images/598164802192683008/3lSTLw6W_bigger.png,RT @martincrrb: Never make Octocat angry! #HackLondon @GitHubEducation @MLHacks https://t.co/fzqbMpdZnd,http://pbs.twimg.com/media/CcTGhBxXEAAvcFf.jpg,photo,2016-02-29 11:54:34.040255,-3
668,704274464863821824,UCLUTech,http://pbs.twimg.com/profile_images/652549696909647872/3Trt6N3D_bigger.jpg,"RT @MLHacks: Thank you so much for attending #HackLondon, it was truly a phenomenal hackathon! https://t.co/hlbU8gMaRk",http://pbs.twimg.com/media/CcUVOBmW8AA-agk.jpg,photo,2016-02-29 11:58:12.109008,2
669,704274523307253760,UCLUTech,http://pbs.twimg.com/profile_images/652549696909647872/3Trt6N3D_bigger.jpg,RT @AlexRBucknall: @hacklondonuk #HackLondon the calm after the storm! Well done team! https://t.co/UEIxUH7BBm,http://pbs.twimg.com/media/CcUoa03WAAEML3Q.jpg,photo,2016-02-29 11:58:25.960664,2
670,704291494971187200,ABeylann,http://pbs.twimg.com/profile_images/623892719450992640/c9JqfixY_bigger.jpg,"What an amazing weekend, what an amazing team! 💜💜 #hacklondon https://t.co/iH3MyypIYX",,,2016-02-29 13:05:52.380047,8
671,704310469234978817,CODX,http://pbs.twimg.com/profile_images/697073627947278337/b2xPRjtI_bigger.jpg,RT @saj_jamal: amazing! @codx you should take a look   #SkysTheLimit with open data https://t.co/W4qrZvueR7,,,2016-02-29 14:21:16.158795,4
